,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
0,2956,417,610062,NA,NA,蒜蓉生蚝,0,1.0,49.0,NA,2016-08-01 11:05:00,NA,NA,NA,0,NA,NA,caipu/104001.jpg,1442
1,2958,417,609957,NA,NA,蒙古烤羊腿,0,1.0,48.0,NA,2016-08-01 11:07:00,NA,NA,NA,0,NA,NA,caipu/202003.jpg,1442
2,2961,417,609950,NA,NA,大蒜苋菜,0,1.0,30.0,NA,2016-08-01 11:07:00,NA,NA,NA,0,NA,NA,caipu/303001.jpg,1442
3,2966,417,610038,NA,NA,芝麻烤紫菜,0,1.0,25.0,NA,2016-08-01 11:11:00,NA,NA,NA,0,NA,NA,caipu/105002.jpg,1442
4,2968,417,610003,NA,NA,蒜香包,0,1.0,13.0,NA,2016-08-01 11:11:00,NA,NA,NA,0,NA,NA,caipu/503002.jpg,1442
5,1899,301,610019,NA,NA,白斩鸡,0,1.0,88.0,NA,2016-08-01 11:15:00,NA,NA,NA,0,NA,NA,caipu/204002.jpg,1095
6,1902,301,609991,NA,NA,香烤牛排,0,1.0,55.0,NA,2016-08-01 11:19:00,NA,NA,NA,0,NA,NA,caipu/201001.jpg,1095
7,1906,301,609983,NA,NA,干锅田鸡,0,1.0,88.0,NA,2016-08-01 11:22:00,NA,NA,NA,0,NA,NA,caipu/205003.jpg,1095
8,1907,301,609981,NA,NA,桂圆枸杞鸽子汤,0,1.0,48.0,NA,2016-08-01 11:22:00,NA,NA,NA,0,NA,NA,caipu/205001.jpg,1095
9,1908,301,610030,NA,NA,番茄有机花菜,0,1.0,32.0,NA,2016-08-01 11:23:00,NA,NA,NA,0,NA,NA,caipu/304004.jpg,1095
10,1910,301,610011,NA,NA,白饭/大碗,0,1.0,10.0,NA,2016-08-01 11:31:00,NA,NA,NA,0,NA,NA,caipu/601005.jpg,1095
11,2916,413,609966,NA,NA,芝士烩波士顿龙虾,0,1.0,175.0,NA,2016-08-01 12:42:00,NA,NA,NA,0,NA,NA,caipu/101001.jpg,1147
12,2919,413,609965,NA,NA,葱姜炒蟹,0,1.0,109.0,NA,2016-08-01 12:43:00,NA,NA,NA,0,NA,NA,caipu/102005.jpg,1147
13,2921,413,609936,NA,NA,皮蛋瘦肉粥,0,1.0,16.0,NA,2016-08-01 12:43:00,NA,NA,NA,0,NA,NA,caipu/602002.jpg,1147
14,2923,413,609978,NA,NA,爆炒鳝碌,0,1.0,55.0,NA,2016-08-01 12:44:00,NA,NA,NA,0,NA,NA,caipu/106003.jpg,1147
15,2925,413,609983,NA,NA,干锅田鸡,0,1.0,88.0,NA,2016-08-01 12:44:00,NA,NA,NA,0,NA,NA,caipu/205003.jpg,1147
16,2927,413,610050,NA,NA,番茄甘蓝,0,1.0,33.0,NA,2016-08-01 12:45:00,NA,NA,NA,0,NA,NA,caipu/301004.jpg,1147
17,2926,413,609984,NA,NA,重庆特色油烧兔,0,1.0,69.0,NA,2016-08-01 12:45:00,NA,NA,NA,0,NA,NA,caipu/205004.jpg,1147
