,职位名,详细链接,公司名,工作地点,薪资,发布时间
0,大数据分析项目经理,https://jobs.51job.com/nanjing-pkq/123452448.html?s=01&t=0,南京拾柴信息科技有限公司,南京-浦口区,0.6-1万/月,07-10
1,数据分析师,https://jobs.51job.com/nanjing-qxq/109499250.html?s=01&t=0,江苏东交智控科技集团股份有限公司...,南京-栖霞区,10-15万/年,07-10
2,宁波地区金融营销CRM大数据分析员，数据架构师,https://jobs.51job.com/shanghai-xhq/117343834.html?s=01&t=0,上海天正软件有限公司,异地招聘,1.5-2万/月,07-10
3,数据分析师,https://jobs.51job.com/nanjing-yhtq/118070931.html?s=01&t=0,新智道枢（上海）科技有限公司,南京-雨花台区,1-2万/月,07-10
4,数据分析,https://jobs.51job.com/dalian-zsq/116420034.html?s=01&t=0,广州华钧软件科技有限公司,异地招聘,1.5-2万/月,07-10
5,数据分析师,https://jobs.51job.com/nanjing-jyq/72003789.html?s=01&t=0,南京烽火星空通信发展有限公司,南京-建邺区,1-1.8万/月,07-10
6,临床数据分析师,https://jobs.51job.com/nanjing-qhq/112352462.html?s=01&t=0,南京医格尔信息科技有限公司,南京-秦淮区,0.7-1.4万/月,07-10
7,数据分析师,https://jobs.51job.com/nanjing-qhq/123069349.html?s=01&t=0,达内时代教育集团,南京-秦淮区,4-7千/月,07-10
8,数据分析实习生（2020届校招）（CD0001）,https://jobs.51job.com/nanjing-jyq/119275959.html?s=01&t=0,万得信息技术股份有限公司,南京-建邺区,,07-10
9,数据分析师（EDB）(DE0001),https://jobs.51job.com/nanjing-jyq/74834995.html?s=01&t=0,万得信息技术股份有限公司（Wind资...,南京-建邺区,4.5-6千/月,07-10
10,大数据分析师,https://jobs.51job.com/nanjing-jyq/119581426.html?s=01&t=0,江苏方寸图信息技术有限公司,南京-建邺区,1-2.5万/月,07-10
11,数据分析,https://jobs.51job.com/nanjing-pkq/108313416.html?s=01&t=0,南京雪糕网络科技有限公司,南京-浦口区,5-8千/月,07-10
12,数据分析中级工程师,https://jobs.51job.com/nanjing/112209885.html?s=01&t=0,福建新大陆软件工程有限公司,南京,1-1.8万/月,07-10
13,数据分析师五险一金双休,https://jobs.51job.com/nanjing/117315127.html?s=01&t=0,江苏婷好软件科技有限公司,南京,3.5-5.5千/月,07-10
14,数据分析师 191214,https://jobs.51job.com/shanghai-xhq/119279368.html?s=01&t=0,上海卉宏信息科技有限公司,异地招聘,6-8千/月,07-10
15,数据分析师,https://jobs.51job.com/nanjing-yhtq/121213678.html?s=01&t=0,亚信科技OBC,南京-雨花台区,0.5-1万/月,07-10
16,大数据分析算法工程师,https://jobs.51job.com/nanjing-jnq/115438019.html?s=01&t=0,信联科技（南京）有限公司,南京-江宁区,1-2万/月,07-09
17,数据分析师,https://jobs.51job.com/nanjing-yhtq/97748639.html?s=01&t=0,江苏欣网通讯技术有限公司,南京-雨花台区,6-8千/月,07-09
18,数据分析师,https://jobs.51job.com/nanjing/105904094.html?s=01&t=0,智器云南京信息科技有限公司,南京,5-8千/月,07-09
19,数据分析师,https://jobs.51job.com/nanjing-glq/119375705.html?s=01&t=0,江苏庭深网络科技有限公司,南京-鼓楼区,4.5-6千/月,07-09
20,高级数据分析师,https://jobs.51job.com/nanjing/121170825.html?s=01&t=0,江苏博瑞思信息技术有限公司,南京,1-1.5万/月,07-08
21,股票软件销售（网络推广）(J17105),https://jobs.51job.com/nanjing-xwq/123595838.html?s=01&t=0,南京华铖亿宏科技有限责任公司,南京-玄武区,0.8-1万/月,07-10
22,前端开发工程师（下属平台公司）,https://jobs.51job.com/nanjing/123591244.html?s=01&t=0,中科院软件研究所南京软件技术研究...,南京,0.8-1.2万/月,07-10
23,大数据讲师,https://jobs.51job.com/nanjing/123588557.html?s=01&t=0,南京云创大数据科技股份有限公司,南京,0.5-1万/月,07-10
24,商务助理,https://jobs.51job.com/nanjing-jnq/123586672.html?s=01&t=0,南京优速网络科技有限公司,南京-江宁区,0.6-1万/月,07-10
25,需求分析项目经理,https://jobs.51job.com/nanjing-yhtq/123552512.html?s=01&t=0,南京艮众信息科技有限公司,南京-雨花台区,1-1.5万/月,07-10
26,跨境电商运营,https://jobs.51job.com/nanjing-pkq/107100477.html?s=01&t=0,阿里巴巴国际站（江北）LBS服务中...,南京-浦口区,4.5-6千/月,07-10
27,智盈人工智能研究院 院长助理,https://jobs.51job.com/nanjing-yhtq/118754728.html?s=01&t=0,南京铉盈网络科技有限公司,南京-雨花台区,0.6-1万/月,07-10
28,采购主管/商品采购（母婴）,https://jobs.51job.com/nanjing/123574415.html?s=01&t=0,联童有限公司,南京,0.8-1.5万/月,07-10
29,后端工程师,https://jobs.51job.com/nanjing-xwq/113340947.html?s=01&t=0,上海小闲网络科技有限公司,南京-玄武区,1.5-3万/月,07-10
30,总经理助理(市场运营),https://jobs.51job.com/nanjing-yhtq/123567207.html?s=01&t=0,南京东奇乐游科技有限公司,南京-雨花台区,0.8-1.5万/月,07-10
31,产品经理（用户增长）,https://jobs.51job.com/nanjing-jyq/123543124.html?s=01&t=0,小米通讯技术有限公司,南京-建邺区,1.5-3万/月,07-10
32,电商运营 8-12k,https://jobs.51job.com/nanjing-xwq/123405356.html?s=01&t=0,南京索盟数码科技有限公司,南京-玄武区,0.8-1.2万/月,07-10
33,商务专员,https://jobs.51job.com/nanjing-jnq/123455894.html?s=01&t=0,南京优玛软件科技有限公司,南京-江宁区,4-6千/月,07-10
34,Web开发工程师,https://jobs.51job.com/nanjing-yhtq/123559006.html?s=01&t=0,南京伟睿英科技有限公司,南京-雨花台区,1-1.8万/月,07-10
35,售前工程师,https://jobs.51job.com/nanjing-jnq/121882538.html?s=01&t=0,南京昊控软件技术有限公司,南京-江宁区,6-9千/月,07-10
36,广告专员,https://jobs.51job.com/nanjing-xwq/102193077.html?s=01&t=0,南京逆攀信息技术有限公司,南京-玄武区,4.5-6千/月,07-10
37,部门助理,https://jobs.51job.com/nanjing-yhtq/123551158.html?s=01&t=0,北京爱朗格瑞科技有限公司,南京-雨花台区,1-1.5万/月,07-10
38,Unity 3D开发工程师,https://jobs.51job.com/nanjing/119828597.html?s=01&t=0,南京先极科技有限公司,南京,1-1.5万/月,07-10
39,气象算法工程师,https://jobs.51job.com/nanjing-xwq/123562586.html?s=01&t=0,广州数鹏通科技有限公司,南京-玄武区,15-25万/年,07-10
40,项目经理,https://jobs.51job.com/nanjing-pkq/121856186.html?s=01&t=0,江苏连邦信息技术有限公司,南京-浦口区,0.8-1万/月,07-10
41,测试工程师-本部,https://jobs.51job.com/nanjing-yhtq/116167000.html?s=01&t=0,江苏润和软件股份有限公司,南京-雨花台区,1-1.5万/月,07-10
42,客户服务,https://jobs.51job.com/nanjing/123170799.html?s=01&t=0,字节跳动,南京,0.5-1万/月,07-10
43,销售,https://jobs.51job.com/nanjing-jyq/119693440.html?s=01&t=0,南通科迅教育信息咨询有限公司,南京-建邺区,0.8-1万/月,07-10
44,运营行政  带薪培训  社保,https://jobs.51job.com/nanjing-jyq/121592724.html?s=01&t=0,南京易创园科技有限公司,南京-建邺区,3-5千/月,07-10
45,java游戏开发实习生,https://jobs.51job.com/nanjing/109706827.html?s=01&t=0,昆山双宇新信息科技有限公司,南京,6-8千/月,07-10
46,运营经理（车检行业）,https://jobs.51job.com/nanjing/122645496.html?s=01&t=0,多伦科技股份有限公司,南京,0.9-1.5万/月,07-10
47,微信运营专员（双休+绩效+培训）,https://jobs.51job.com/nanjing-jyq/118122032.html?s=01&t=0,杭州八斗信息科技有限公司,南京-建邺区,6-8千/月,07-10
48,政务中心广告策划,https://jobs.51job.com/nanjing/121962466.html?s=01&t=0,文思海辉技术有限公司Pactera Tec...,南京,0.8-1万/月,07-10
49,薪酬绩效主管,https://jobs.51job.com/nanjing-pkq/122122809.html?s=01&t=0,江苏良旭智能科技有限公司,南京-浦口区,6-8千/月,07-10
50,运维工程师,https://jobs.51job.com/nanjing/122418442.html?s=01&t=0,南京博纳睿通软件科技有限公司,南京,4-6千/月,07-10
51,软件测试（大数据测试）,https://jobs.51job.com/nanjing/123368019.html?s=01&t=0,中软国际科技服务有限公司,南京,0.7-1.1万/月,07-10
52,渠道运营专员,https://jobs.51job.com/nanjing-jnq/122805025.html?s=01&t=0,南京鼓楼心田花开教育培训中心有限...,南京-江宁区,0.8-1.5万/月,07-10
