地区,现有确诊,累计确诊,疑似,死亡,死亡率,治愈,治愈率
上海,28,724,0,7,0.97,689,95.17
境外输入,27,382,0,0,0.00,355,92.93
境外来沪,1,1,0,0,0.00,0,0.00
青浦,0,6,0,0,0.00,6,100.00
地区待确认,0,0,0,0,0.00,0,0.00
宝山,0,22,0,1,4.55,21,95.45
嘉定,0,9,0,2,22.22,7,77.78
徐汇,0,18,0,1,5.56,17,94.44
静安,0,16,0,1,6.25,15,93.75
黄浦,0,6,0,1,16.67,5,83.33
浦东,0,61,0,0,0.00,61,100.00
外地来沪,0,113,0,1,0.88,112,99.12
崇明,0,4,0,0,0.00,4,100.00
金山,0,4,0,0,0.00,4,100.00
虹口,0,7,0,0,0.00,7,100.00
奉贤,0,9,0,0,0.00,9,100.00
杨浦,0,9,0,0,0.00,9,100.00
普陀,0,11,0,0,0.00,11,100.00
长宁,0,13,0,0,0.00,13,100.00
松江,0,14,0,0,0.00,14,100.00
闵行,0,19,0,0,0.00,19,100.00
