name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare,nameMap
伊朗,亚洲,03.31,False,0,0,44606,0,2898,14656,27052.0,0.0,0.0,0.0,0.0,
地区待确认,,03.30,False,0,0,19857,0,2757,13911,,,,,,
德黑兰省,,03.23,False,0,0,5098,0,0,0,,,,,,Tehran
伊斯法罕省,,03.23,False,0,0,1979,0,0,0,,,,,,Esfahan
马赞德兰省,,03.23,False,0,0,1700,0,0,0,,,,,,Mazandaran
吉兰省,,03.23,False,0,0,1191,0,0,0,,,,,,Gilan
库姆省,,03.23,False,0,0,1178,0,0,0,,,,,,Qom
厄尔布尔士省,,03.23,False,0,0,1177,0,0,0,,,,,,Alborz
中央省,,03.23,False,0,0,882,0,0,0,,,,,,Markazi
拉扎维霍拉桑省,,03.23,False,0,0,858,0,0,0,,,,,,Razavi Khorasan
东阿塞拜疆省,,03.23,False,0,0,813,0,0,0,,,,,,East Azarbaijan
亚兹德省,,03.23,False,0,0,725,0,0,0,,,,,,Yazd
加兹温省,,03.23,False,0,0,669,0,0,0,,,,,,Qazvin
塞姆南省,,03.23,False,0,0,645,0,0,0,,,,,,Semnan
法尔斯省,,03.23,False,0,0,505,0,0,0,,,,,,Fars
洛雷斯坦省,,03.23,False,0,0,476,0,0,0,,,,,,Lorestan
胡泽斯坦省,,03.23,False,0,0,444,0,0,0,,,,,,Khuzestan
西阿塞拜疆省,,03.23,False,0,0,395,0,0,0,,,,,,West Azarbaijan
赞詹省,,03.23,False,0,0,394,0,0,0,,,,,,Zanjan
古列斯坦省,,03.23,False,0,0,391,0,0,0,,,,,,Golestan
阿尔达比勒省,,03.23,False,0,0,289,0,0,0,,,,,,Ardebil
哈马丹省,,03.23,False,0,0,243,0,0,0,,,,,,Hamadan
库尔德斯坦省,,03.23,False,0,0,238,0,0,0,,,,,,Kordestan
伊拉姆省,,03.23,False,0,0,183,0,0,0,,,,,,Ilam
南霍拉桑省,,03.23,False,0,0,178,0,0,0,,,,,,South Khorasan
克尔曼沙省,,03.23,False,0,0,175,0,0,0,,,,,,Kermanshah
克尔曼省,,03.23,False,0,0,169,0,0,0,,,,,,Kerman
北霍拉桑省,,03.23,False,0,0,165,0,0,0,,,,,,North Khorasan
霍尔木兹甘省,,03.23,False,0,0,148,0,0,0,,,,,,Hormozgan
锡斯坦俾路支斯坦省,,03.23,False,0,0,134,0,0,0,,,,,,Sistan and Baluchestan
科吉卢耶博韦艾哈迈德省,,03.23,False,0,0,73,0,0,0,,,,,,Kohgiluyeh and Buyer Ahmad
恰马哈勒巴赫蒂亚里省,,03.23,False,0,0,68,0,0,0,,,,,,Chahar Mahall and Bakhtiari
布什尔省,,03.23,False,0,0,55,0,0,0,,,,,,Bushehr
