nation,confirm,population,rate
卡塔尔,103598,2781677,37243
巴林,32941,1569439,20989
智利,315041,18729160,16821
科威特,54894,4137309,13268
阿曼,56015,4829483,11599
巴拿马,45633,4176873,10925
亚美尼亚,31969,2951776,10830
美国,3413995,327167434,10435
秘鲁,326326,31989256,10201
巴西,1864681,209469333,8902
新加坡,45961,5638676,8151
卢森堡,4925,607728,8104
瑞典,74898,10183175,7355
沙特阿拉伯,232259,33699947,6892
白俄罗斯,64932,9485386,6845
西班牙,300988,46723749,6442
阿联酋,54854,9300000,5898
比利时,62606,11422068,5481
摩尔多瓦,19382,3545883,5466
冰岛,1896,353574,5362
马尔代夫,2731,515696,5296
爱尔兰,25628,4853506,5280
吉布提,4972,958920,5185
俄罗斯,726036,144478050,5025
南非,276242,57779622,4781
葡萄牙,46512,10281762,4524
英国,291154,66488991,4379
以色列,38670,8883800,4353
多米尼加,44532,10627165,4190
玻利维亚,47200,11353142,4157
意大利,243061,60431283,4022
厄瓜多尔,67870,17084357,3973
瑞士,32883,8516543,3861
哈萨克斯坦,58253,18276499,3187
伊朗,257303,81800269,3146
法国,208015,66987244,3105
荷兰,51237,17231017,2974
加拿大,109348,37058856,2951
哥伦比亚,145362,49648685,2928
洪都拉斯,27583,9587522,2877
加蓬,5942,2119275,2804
塞尔维亚,18360,6982084,2630
土耳其,212993,82319724,2587
阿塞拜疆,24041,9942334,2418
德国,199919,82927922,2411
赤道几内亚,3071,1308974,2346
墨西哥,295268,126190788,2340
丹麦,13147,5797446,2268
阿根廷,100166,44494502,2251
奥地利,18897,8847037,2136
伊拉克,77506,38433600,2017
黑山,1221,622345,1962
波黑,6877,3516816,1955
危地马拉,29355,17247807,1702
挪威,8981,5314336,1690
吉尔吉斯斯坦,10629,6315800,1683
罗马尼亚,32535,19473936,1671
爱沙尼亚,2014,1320884,1525
哥斯达黎加,7596,4999441,1519
萨尔瓦多,9674,6420744,1507
巴勒斯坦,6230,4684777,1330
芬兰,7294,5518050,1322
捷克,13174,10625695,1240
乌克兰,54647,44622516,1225
毛里塔尼亚,5355,4403319,1216
阿尔巴尼亚,3454,2866376,1205
巴基斯坦,248872,212215030,1173
孟加拉,183795,161356039,1139
保加利亚,7252,7024216,1032
波兰,37891,37978548,998
几内亚比绍,1842,1874309,983
斯威士兰,1351,1390000,972
阿富汗,34451,37172386,927
中非共和国,4288,4666377,919
克罗地亚,3722,4089400,910
斯洛文尼亚,1841,2067372,891
塞浦路斯,1021,1189265,859
埃及,82070,98423595,834
加纳,24518,29767108,824
塔吉克斯坦,6552,9100837,720
立陶宛,1869,2789533,670
印度,849553,1352617328,628
拉脱维亚,1173,1926542,609
喀麦隆,15173,25216237,602
海地,6690,11123176,601
尼泊尔,16801,28087871,598
科特迪瓦,12766,24900000,513
塞内加尔,8135,15854360,513
菲律宾,54222,106651922,508
几内亚,6141,12414318,495
阿尔及利亚,19195,42228429,455
尼加拉瓜,2846,6465513,440
摩洛哥,15745,36029138,437
匈牙利,4234,9768785,433
巴拉圭,2948,6956071,424
乌兹别克斯坦,12997,32955400,394
澳大利亚,9812,24992369,393
刚果（布）,2028,5260000,386
希腊,3803,10727668,355
斯洛伐克,1901,5450000,349
黎巴嫩,2334,6848925,341
委内瑞拉,9178,28870195,318
新西兰,1544,4885500,316
印度尼西亚,75699,267663435,283
马来西亚,8718,31528585,277
韩国,13417,51269185,262
苏丹,10250,41801533,245
利比亚,1433,6678567,215
古巴,2426,11338138,214
塞拉利昂,1635,7650154,214
利比里亚,1010,4818977,210
索马里,3059,15008154,204
肯尼亚,10105,51393010,197
马达加斯加,4867,26262368,185
日本本土,21839,126529100,173
尼日利亚,32558,195874740,166
马拉维,2364,18143315,130
马里,2411,19077690,126
斯里兰卡,2617,21440000,122
贝宁,1378,11485048,120
约旦,1179,9956011,118
突尼斯,1263,11565204,109
赞比亚,1895,17351822,109
卢旺达,1337,12301939,109
刚果（金）,8033,84068091,96
埃塞俄比亚,7560,109224559,69
布基纳法索,1036,19190000,54
也门,1465,28498687,51
尼日尔,1099,22442948,49
泰国,3217,69428524,46
莫桑比克,1157,29495962,39
乌干达,1025,42723139,24
