name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
美国,北美洲,07.13,True,58349,0,3413995,0,137782,1517084,1759129,58349,30305,27664,380
西班牙,欧洲,07.13,True,852,0,300988,0,28403,196958,75627,0,0,0,0
英国,欧洲,04.17,False,0,0,104145,0,13759,375,90011,0,0,0,0
意大利,欧洲,03.30,False,0,0,97689,0,10779,13030,73880,0,0,0,0
德国,欧洲,03.30,False,0,0,63929,0,560,9211,54158,0,0,0,0
伊朗,亚洲,03.31,False,0,0,44606,0,2898,14656,27052,0,0,0,0
加拿大,北美洲,04.25,False,0,0,44526,0,2386,15479,26661,0,0,0,0
法国,欧洲,03.30,False,0,0,40751,0,2612,7238,30901,0,0,0,0
瑞士,欧洲,03.30,False,0,0,15526,0,312,1823,13391,0,0,0,0
奥地利,欧洲,04.17,False,0,0,14476,0,410,8986,5080,0,0,0,0
比利时,欧洲,03.30,False,0,0,11899,0,513,1527,9859,0,0,0,0
荷兰,欧洲,03.30,False,0,0,11814,0,864,253,10697,0,0,0,0
韩国,亚洲,04.02,False,0,0,9976,0,169,5828,3979,0,0,0,0
土耳其,亚洲,03.30,False,0,0,9217,0,131,105,8981,0,0,0,0
塞尔维亚,欧洲,04.30,False,0,0,8724,0,173,1292,7259,0,0,0,0
葡萄牙,欧洲,03.30,False,0,0,6408,0,140,43,6225,0,0,0,0
以色列,亚洲,03.30,False,0,0,4347,0,15,139,4193,0,0,0,0
挪威,欧洲,03.30,False,0,0,4284,0,26,7,4251,0,0,0,0
巴西,南美洲,03.30,False,0,0,4256,0,136,6,4114,0,0,0,0
澳大利亚,大洋洲,03.30,False,0,0,4245,0,18,244,3983,0,0,0,0
瑞典,欧洲,03.30,False,0,0,3700,0,110,16,3574,0,0,0,0
捷克,欧洲,03.30,False,0,0,2817,0,16,11,2790,0,0,0,0
丹麦,欧洲,03.30,False,0,0,2724,0,72,73,2579,0,0,0,0
马来西亚,亚洲,03.30,False,0,0,2626,0,37,479,2110,0,0,0,0
爱尔兰,欧洲,03.30,False,0,0,2615,0,46,5,2564,0,0,0,0
智利,南美洲,03.30,False,0,0,2449,0,8,156,2285,0,0,0,0
卢森堡,欧洲,03.30,False,0,0,1988,0,22,40,1926,0,0,0,0
罗马尼亚,欧洲,03.30,False,0,0,1952,0,46,206,1700,0,0,0,0
厄瓜多尔,南美洲,03.30,False,0,0,1924,0,58,3,1863,0,0,0,0
波兰,欧洲,03.30,False,0,0,1905,0,26,7,1872,0,0,0,0
俄罗斯,欧洲,03.30,False,0,0,1836,0,9,66,1761,0,0,0,0
日本本土,亚洲,03.28,False,0,0,1724,0,52,372,1300,0,0,0,0
巴基斯坦,亚洲,03.30,False,0,0,1625,0,20,29,1576,0,0,0,0
菲律宾,亚洲,03.30,False,0,0,1546,0,78,42,1426,0,0,0,0
泰国,亚洲,03.30,False,0,0,1524,0,9,127,1388,0,0,0,0
沙特阿拉伯,亚洲,03.30,False,0,0,1453,0,8,115,1330,0,0,0,0
印度尼西亚,亚洲,03.30,False,0,0,1414,0,122,75,1217,0,0,0,0
南非,非洲,03.30,False,0,0,1280,0,2,31,1247,0,0,0,0
芬兰,欧洲,03.30,False,0,0,1240,0,11,10,1219,0,0,0,0
希腊,欧洲,03.29,False,0,0,1156,0,38,52,1066,0,0,0,0
印度,亚洲,03.30,False,0,0,1071,0,29,99,943,0,0,0,0
冰岛,欧洲,03.30,False,0,0,1020,0,2,135,883,0,0,0,0
墨西哥,北美洲,03.30,False,0,0,993,0,20,4,969,0,0,0,0
巴拿马,北美洲,03.30,False,0,0,989,0,24,4,961,0,0,0,0
多米尼加,北美洲,03.30,False,0,0,901,0,42,4,855,0,0,0,0
新加坡,亚洲,03.30,False,0,0,879,0,3,228,648,0,0,0,0
秘鲁,南美洲,03.30,False,0,0,852,0,18,16,818,0,0,0,0
阿根廷,南美洲,03.30,False,0,0,820,0,80,72,668,0,0,0,0
克罗地亚,欧洲,03.30,False,0,0,713,0,6,55,652,0,0,0,0
钻石号邮轮,其他,03.31,False,0,0,712,0,11,603,98,0,0,0,0
哥伦比亚,南美洲,03.30,False,0,0,702,0,10,10,682,0,0,0,0
斯洛文尼亚,欧洲,03.29,False,0,0,684,0,9,10,665,0,0,0,0
爱沙尼亚,欧洲,03.29,False,0,0,645,0,1,20,624,0,0,0,0
卡塔尔,亚洲,03.30,False,0,0,634,0,1,48,585,0,0,0,0
阿联酋,亚洲,03.30,False,0,0,611,0,5,61,545,0,0,0,0
埃及,非洲,03.30,False,0,0,609,0,40,132,437,0,0,0,0
新西兰,大洋洲,03.30,False,0,0,589,0,1,56,532,0,0,0,0
阿塞拜疆,亚洲,04.05,False,0,0,584,0,5,32,547,0,0,0,0
伊拉克,亚洲,03.29,False,0,0,547,0,42,143,362,0,0,0,0
摩洛哥,非洲,03.30,False,0,0,516,0,27,13,476,0,0,0,0
巴林,亚洲,03.30,False,0,0,515,0,4,279,232,0,0,0,0
阿尔及利亚,非洲,03.30,False,0,0,511,0,31,32,448,0,0,0,0
亚美尼亚,亚洲,03.30,False,0,0,481,0,3,30,448,0,0,0,0
乌克兰,欧洲,03.30,False,0,0,480,0,11,6,463,0,0,0,0
立陶宛,欧洲,03.29,False,0,0,460,0,7,1,452,0,0,0,0
匈牙利,欧洲,03.30,False,0,0,447,0,15,34,398,0,0,0,0
黎巴嫩,亚洲,03.30,False,0,0,446,0,11,32,403,0,0,0,0
拉脱维亚,欧洲,03.30,False,0,0,347,0,0,1,346,0,0,0,0
斯洛伐克,欧洲,03.30,False,0,0,336,0,0,2,334,0,0,0,0
安道尔,欧洲,03.29,False,0,0,334,0,6,6,322,0,0,0,0
波黑,欧洲,03.30,False,0,0,324,0,6,8,310,0,0,0,0
保加利亚,欧洲,03.28,False,0,0,313,0,3,4,306,0,0,0,0
突尼斯,非洲,03.30,False,0,0,312,0,8,2,302,0,0,0,0
乌拉圭,南美洲,03.30,False,0,0,309,0,1,6,302,0,0,0,0
哈萨克斯坦,亚洲,03.30,False,0,0,302,0,1,21,280,0,0,0,0
哥斯达黎加,北美洲,03.29,False,0,0,295,0,2,3,290,0,0,0,0
科威特,亚洲,03.30,False,0,0,266,0,0,72,194,0,0,0,0
北马其顿,欧洲,03.30,False,0,0,259,0,6,3,250,0,0,0,0
约旦,亚洲,03.30,False,0,0,259,0,3,18,238,0,0,0,0
摩尔多瓦,欧洲,03.29,False,0,0,231,0,2,2,227,0,0,0,0
圣马力诺,欧洲,03.30,False,0,0,224,0,22,6,196,0,0,0,0
布基纳法索,非洲,03.30,False,0,0,222,0,12,23,187,0,0,0,0
塞浦路斯,亚洲,03.29,False,0,0,214,0,6,15,193,0,0,0,0
阿尔巴尼亚,欧洲,03.30,False,0,0,212,0,10,33,169,0,0,0,0
越南,亚洲,03.30,False,0,0,194,0,0,52,142,0,0,0,0
阿曼,亚洲,03.30,False,0,0,179,0,0,29,150,0,0,0,0
科特迪瓦,非洲,03.30,False,0,0,165,0,1,4,160,0,0,0,0
塞内加尔,非洲,03.30,False,0,0,162,0,0,28,134,0,0,0,0
加纳,非洲,03.29,False,0,0,152,0,5,2,145,0,0,0,0
乌兹别克斯坦,亚洲,03.30,False,0,0,149,0,2,7,140,0,0,0,0
马耳他,欧洲,03.29,False,0,0,149,0,0,2,147,0,0,0,0
阿富汗,亚洲,03.30,False,0,0,145,0,4,2,139,0,0,0,0
喀麦隆,非洲,03.30,False,0,0,142,0,6,5,131,0,0,0,0
洪都拉斯,北美洲,03.30,False,0,0,139,0,1,3,135,0,0,0,0
文莱,亚洲,03.30,False,0,0,127,0,1,38,88,0,0,0,0
斯里兰卡,亚洲,03.30,False,0,0,122,0,1,11,110,0,0,0,0
古巴,北美洲,03.29,False,0,0,119,0,3,4,112,0,0,0,0
委内瑞拉,南美洲,03.29,False,0,0,119,0,2,39,78,0,0,0,0
尼日利亚,非洲,03.30,False,0,0,111,0,1,3,107,0,0,0,0
毛里求斯,非洲,03.29,False,0,0,107,0,2,0,105,0,0,0,0
巴勒斯坦,亚洲,03.30,False,0,0,106,0,1,18,87,0,0,0,0
柬埔寨,亚洲,03.30,False,0,0,103,0,0,21,82,0,0,0,0
格鲁吉亚,亚洲,03.30,False,0,0,98,0,0,18,80,0,0,0,0
白俄罗斯,欧洲,03.29,False,0,0,94,0,0,32,62,0,0,0,0
黑山,欧洲,03.30,False,0,0,85,0,1,0,84,0,0,0,0
吉尔吉斯斯坦,亚洲,03.29,False,0,0,84,0,0,0,84,0,0,0,0
刚果（金）,非洲,03.30,False,0,0,81,0,8,3,70,0,0,0,0
玻利维亚,南美洲,03.29,False,0,0,81,0,0,0,81,0,0,0,0
卢旺达,非洲,03.30,False,0,0,70,0,0,0,70,0,0,0,0
巴拉圭,南美洲,03.30,False,0,0,64,0,3,1,60,0,0,0,0
列支敦士登公国,欧洲,03.28,False,0,0,56,0,0,0,56,0,0,0,0
肯尼亚,非洲,03.30,False,0,0,50,0,1,1,48,0,0,0,0
孟加拉,亚洲,03.30,False,0,0,49,0,5,19,25,0,0,0,0
摩纳哥,欧洲,03.29,False,0,0,43,0,0,1,42,0,0,0,0
马达加斯加,非洲,03.29,False,0,0,43,0,0,0,43,0,0,0,0
赞比亚,非洲,03.30,False,0,0,35,0,0,0,35,0,0,0,0
危地马拉,北美洲,03.29,False,0,0,34,0,1,10,23,0,0,0,0
乌干达,非洲,03.30,False,0,0,33,0,0,0,33,0,0,0,0
多哥,非洲,03.30,False,0,0,30,0,1,7,22,0,0,0,0
圭亚那,南美洲,03.29,False,0,0,28,0,1,6,21,0,0,0,0
马里,非洲,03.30,False,0,0,25,0,2,0,23,0,0,0,0
吉布提,非洲,03.30,False,0,0,25,0,0,0,25,0,0,0,0
埃塞俄比亚,非洲,03.30,False,0,0,23,0,0,2,21,0,0,0,0
缅甸,亚洲,04.03,False,0,0,20,0,1,0,19,0,0,0,0
刚果（布）,非洲,03.28,False,0,0,19,0,0,0,19,0,0,0,0
坦桑尼亚,非洲,03.30,False,0,0,19,0,0,1,18,0,0,0,0
尼日尔,非洲,03.30,False,0,0,18,0,1,0,17,0,0,0,0
马尔代夫,亚洲,03.30,False,0,0,17,0,0,11,6,0,0,0,0
几内亚,非洲,03.30,False,0,0,16,0,0,1,15,0,0,0,0
赤道几内亚,非洲,03.30,False,0,0,14,0,0,0,14,0,0,0,0
厄立特里亚,非洲,03.30,False,0,0,12,0,0,0,12,0,0,0,0
蒙古,亚洲,03.28,False,0,0,12,0,0,0,12,0,0,0,0
纳米比亚,非洲,03.29,False,0,0,11,0,0,0,11,0,0,0,0
叙利亚,亚洲,03.30,False,0,0,10,0,1,0,9,0,0,0,0
斯威士兰,非洲,03.29,False,0,0,9,0,0,0,9,0,0,0,0
海地,北美洲,03.28,False,0,0,8,0,0,0,8,0,0,0,0
莫桑比克,非洲,03.28,False,0,0,8,0,0,0,8,0,0,0,0
老挝,亚洲,03.29,False,0,0,8,0,0,0,8,0,0,0,0
塞舌尔,非洲,03.29,False,0,0,8,0,0,0,8,0,0,0,0
苏里南,南美洲,03.28,False,0,0,8,0,0,0,8,0,0,0,0
津巴布韦,非洲,03.28,False,0,0,7,0,1,0,6,0,0,0,0
安哥拉,非洲,03.30,False,0,0,7,0,2,0,5,0,0,0,0
安提瓜和巴布达,北美洲,03.28,False,0,0,7,0,0,0,7,0,0,0,0
加蓬,非洲,03.27,False,0,0,7,0,1,0,6,0,0,0,0
苏丹,非洲,03.30,False,0,0,6,0,1,0,5,0,0,0,0
贝宁,非洲,03.28,False,0,0,6,0,0,0,6,0,0,0,0
佛得角,非洲,03.29,False,0,0,6,0,1,0,5,0,0,0,0
中非共和国,非洲,03.28,False,0,0,6,0,0,0,6,0,0,0,0
梵蒂冈,欧洲,03.29,False,0,0,6,0,0,0,6,0,0,0,0
乍得,非洲,03.29,False,0,0,5,0,0,0,5,0,0,0,0
毛里塔尼亚,非洲,03.30,False,0,0,5,0,0,2,3,0,0,0,0
