name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
美国,北美洲,07.13,True,58349,0,3413995,0,137782,1517084,1759129,58349,30305,27664,380
巴西,南美洲,07.13,False,24831,0,1864681,0,72100,1264843,527738,24831,3445,20755,631
印度,亚洲,07.13,False,28701,0,878254,0,23174,553471,301609,28701,9351,18850,500
俄罗斯,欧洲,07.13,False,6511,0,732547,0,11422,503168,217957,6511,3447,2960,104
秘鲁,南美洲,07.13,False,3616,0,326326,0,11870,217111,97345,3616,469,2959,188
智利,南美洲,07.13,False,3012,0,315041,0,6979,283902,24160,3012,126,2788,98
西班牙,欧洲,07.13,True,852,0,300988,0,28403,196958,75627,0,0,0,0
墨西哥,北美洲,07.13,False,4482,0,299750,0,35006,234905,29839,4482,-843,5049,276
英国,欧洲,07.13,False,651,0,291155,0,44904,1378,244873,651,630,0,21
南非,非洲,07.13,False,12058,0,276242,0,4079,134874,137289,12058,4791,7159,108
伊朗,亚洲,07.13,False,2349,0,259652,0,13032,222539,24081,2349,-400,2546,203
巴基斯坦,亚洲,07.13,False,2753,0,251625,0,5266,161917,84442,2753,-2533,5217,69
意大利,欧洲,07.13,False,234,0,243061,0,34954,194928,13179,234,-124,349,9
沙特阿拉伯,亚洲,07.13,False,0,0,232259,0,2223,167138,62898,0,0,0,0
土耳其,亚洲,07.13,False,1012,0,212993,0,5363,194515,13115,1012,-305,1298,19
法国,欧洲,07.13,False,0,0,208015,0,30007,78513,99495,0,0,0,0
德国,欧洲,07.13,False,78,0,199974,0,9072,185100,5802,78,-637,714,1
孟加拉,亚洲,07.13,False,3099,0,186894,0,2391,98317,86186,3099,-1643,4703,39
哥伦比亚,南美洲,07.13,False,4586,0,145362,0,5426,61186,78750,4586,1976,2386,224
加拿大,北美洲,07.13,False,198,0,109348,0,8829,72954,27565,198,17,170,11
卡塔尔,亚洲,07.13,False,0,0,103598,0,147,99743,3708,0,0,0,0
