name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare,nameMap
日本本土,亚洲,03.28,False,0,0,1724,0,52,372,1300.0,0.0,0.0,0.0,0.0,
东京,,07.13,True,0,0,7927,0,9,0,,,,,,Tokyo
大阪府,,07.13,True,0,0,2027,0,4,0,,,,,,Osaka
神奈川县,,07.13,True,0,0,1741,0,5,0,,,,,,Kanagawa
埼玉县,,07.13,True,0,0,1459,0,5,0,,,,,,Saitama
北海道,,07.13,True,0,0,1294,0,4,0,,,,,,Hokkaido
千叶县,,07.13,True,0,0,1112,0,1,0,,,,,,Chiba
福冈县,,07.13,True,0,0,922,0,0,0,,,,,,Fukuoka
兵库县,,07.13,True,0,0,738,0,7,0,,,,,,Hyogo
爱知县,,07.13,True,0,0,534,0,19,0,,,,,,Aichi
京都府,,07.13,True,0,0,447,0,0,0,,,,,,Kyoto
检疫等工作人员,,07.13,True,0,0,394,0,0,0,,,,,,
石川县,,07.13,True,0,0,300,0,0,0,,,,,,Ishikawa
富山县,,07.13,True,0,0,230,0,0,0,,,,,,
茨城县,,07.13,True,0,0,199,0,0,0,,,,,,Ibaraki
广岛县,,07.13,True,0,0,179,0,0,0,,,,,,Hiroshima
武汉包机回国者,,07.13,True,0,0,173,0,0,0,,,,,,
岐阜县,,07.13,True,0,0,162,0,0,0,,,,,,Gifu
群马县,,07.13,True,0,0,155,0,1,0,,,,,,Gunma
冲绳县,,07.13,True,0,0,148,0,0,0,,,,,,Okinawa
鹿儿岛县,,07.13,True,0,0,145,0,0,0,,,,,,Kagoshima
福井县,,07.13,True,0,0,123,0,0,0,,,,,,Fukui
奈良县,,07.13,True,0,0,119,0,0,0,,,,,,Nara
滋贺县,,07.13,True,0,0,106,0,0,0,,,,,,Shiga
宫城县,,07.13,True,0,0,106,0,0,0,,,,,,Miyagi
静冈县,,07.13,True,0,0,96,0,0,0,,,,,,Shizuoka
栃木县,,07.13,True,0,0,95,0,0,0,,,,,,Tochigi
新潟县,,07.13,True,0,0,86,0,0,0,,,,,,Niigata
福岛县,,07.13,True,0,0,83,0,0,0,,,,,,Fukushima
爱媛县,,07.13,True,0,0,82,0,0,0,,,,,,Ehime
和歌山县,,07.13,True,0,0,80,0,1,0,,,,,,Wakayama
长野县,,07.13,True,0,0,78,0,0,0,,,,,,Nagano
山梨县,,07.13,True,0,0,76,0,0,0,,,,,,Yamanashi
高知县,,07.13,True,0,0,74,0,1,0,,,,,,Kochi
山形县,,07.13,True,0,0,71,0,1,0,,,,,,Yamagata
大分县,,07.13,True,0,0,60,0,0,0,,,,,,Oita
三重县,,07.13,True,0,0,50,0,0,0,,,,,,Mie
熊本县,,07.13,True,0,0,49,0,0,0,,,,,,Kumamoto
佐贺县,,07.13,True,0,0,47,0,0,0,,,,,,
山口县,,07.13,True,0,0,37,0,0,0,,,,,,Yamaguchi
青森县,,07.13,True,0,0,30,0,0,0,,,,,,Aomori
香川县,,07.13,True,0,0,29,0,0,0,,,,,,Kagawa
冈山县,,07.13,True,0,0,28,0,0,0,,,,,,Okayama
长崎县,,07.13,True,0,0,26,0,0,0,,,,,,
岛根县,,07.13,True,0,0,24,0,0,0,,,,,,Shimane
宫崎县,,07.13,True,0,0,20,0,0,0,,,,,,Miyazaki
秋田县,,07.13,True,0,0,16,0,0,0,,,,,,Akita
德岛县,,07.13,True,0,0,10,0,0,0,,,,,,Tokushima
鸟取县,,07.13,True,0,0,4,0,0,0,,,,,,
地区待确认,,07.13,True,0,0,0,0,925,18003,,,,,,
