name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare,nameMap
美国,北美洲,07.13,True,58349,0,3413995,0,137782,1517084,1759129.0,58349.0,30305.0,27664.0,380.0,
纽约,,07.12,False,0,0,406328,0,32343,57171,,,,,,New York
加利福尼亚,,07.12,False,0,0,318761,0,7029,80249,,,,,,California
佛罗里达,,07.12,False,0,0,254511,0,4197,381,,,,,,Florida
德克萨斯,,07.12,False,0,0,254415,0,3138,127880,,,,,,Texas
新泽西,,07.12,False,0,0,174959,0,15617,3951,,,,,,New Jersey
伊利诺伊,,07.12,False,0,0,152964,0,7168,75880,,,,,,Illinois
亚利桑那,,07.12,False,0,0,119930,0,2151,174,,,,,,Arizona
乔治亚,,07.12,False,0,0,114401,0,2996,340,,,,,,Georgia
马萨诸塞,,07.12,False,0,0,111398,0,8310,94347,,,,,,Massachusetts
宾夕法尼亚,,07.12,False,0,0,99216,0,6897,1369,,,,,,Pennsylvania
北卡罗来纳,,07.12,False,0,0,83794,0,1506,55318,,,,,,North Carolina
路易斯安那州,,07.12,False,0,0,76803,0,3403,46334,,,,,,Louisiana
密歇根州,,07.12,False,0,0,76370,0,6313,52841,,,,,,Michigan
马里兰,,07.12,False,0,0,72467,0,3310,5190,,,,,,Maryland
弗吉尼亚,,07.12,False,0,0,69782,0,1963,9271,,,,,,Virginia
俄亥俄州,,07.12,False,0,0,64215,0,3036,7358,,,,,,Ohio
田纳西,,07.12,False,0,0,60805,0,738,35407,,,,,,Tennessee
南卡罗来纳州,,07.12,False,0,0,54538,0,940,5076,,,,,,South Carolina
阿拉巴马州,,07.12,False,0,0,51910,0,1113,25783,,,,,,Alabama
印第安纳,,07.12,False,0,0,51079,0,2756,2896,,,,,,Indiana
康涅狄格,,07.12,False,0,0,47287,0,4348,63,,,,,,Connecticut
明尼苏达,,07.12,False,0,0,41571,0,1537,36012,,,,,,Minnesota
华盛顿州,,07.12,False,0,0,39236,0,1410,5365,,,,,,Washington
科罗拉多,,07.12,False,0,0,36594,0,1725,3182,,,,,,Colorado
威斯康星,,07.12,False,0,0,35679,0,821,27909,,,,,,Wisconsin
密西西比州,,07.12,False,0,0,35415,0,1229,22167,,,,,,Mississippi
爱荷华州,,07.12,False,0,0,34658,0,748,26112,,,,,,Iowa
犹他,,07.12,False,0,0,28855,0,212,4006,,,,,,Utah
密苏里州,,07.12,False,0,0,28750,0,1116,4102,,,,,,Missouri
退伍军人事务部,,07.12,False,0,0,28212,0,1776,13019,,,,,,veteran affair
阿肯色州,,07.12,False,0,0,27864,0,319,21190,,,,,,Arkansas
内华达,,07.12,False,0,0,26917,0,592,17831,,,,,,Nevada
美军,,07.12,False,0,0,23842,0,41,10028,,,,,,
内布拉斯加,,07.12,False,0,0,21037,0,290,14641,,,,,,Nebraska
俄克拉荷马,,07.12,False,0,0,19779,0,421,15139,,,,,,Oklahoma
肯塔基,,07.12,False,0,0,19121,0,622,4939,,,,,,Kentucky
堪萨斯州,,07.12,False,0,0,18687,0,295,11220,,,,,,Kansas
罗德岛,,07.12,False,0,0,17204,0,971,1683,,,,,,Rhode Island
新墨西哥州,,07.12,False,0,0,14773,0,543,6271,,,,,,New Mexico
特拉华州,,07.12,False,0,0,12743,0,517,7002,,,,,,Delaware
俄勒冈,,07.12,False,0,0,11454,0,232,1885,,,,,,Oregon
华盛顿特区,,07.12,False,0,0,10801,0,568,1717,,,,,,District of Columbia
爱达荷州,,07.12,False,0,0,10505,0,102,3022,,,,,,Idaho
波多黎各,,07.12,False,0,0,9366,0,167,850,,,,,,Puerto Rico
联邦监狱局,,07.12,False,0,0,8949,0,95,5762,,,,,,
纳瓦霍族保留地,,07.12,False,0,0,8098,0,396,930,,,,,,
南达科塔州,,07.12,False,0,0,7454,0,109,6470,,,,,,South Dakota
新罕布什尔,,07.12,False,0,0,6024,0,391,5013,,,,,,New Hampshire
北达科他州,,07.12,False,0,0,4243,0,87,3533,,,,,,North Dakota
西弗吉尼亚,,07.12,False,0,0,4146,0,96,2798,,,,,,West Virginia
缅因州,,07.12,False,0,0,3520,0,112,2972,,,,,,Maine
怀俄明州,,07.12,False,0,0,1839,0,21,1361,,,,,,Wyoming
蒙大拿,,07.12,False,0,0,1677,0,29,864,,,,,,Montana
阿拉斯加州,,07.12,False,0,0,1385,0,17,588,,,,,,Alaska
佛蒙特,,07.12,False,0,0,1283,0,56,1049,,,,,,Vermont
夏威夷,,07.12,False,0,0,1200,0,19,872,,,,,,Hawaii
关岛,,07.12,False,0,0,310,0,5,143,,,,,,Guam
美属维尔京群岛,,07.12,False,0,0,167,0,6,92,,,,,,US Virgin Islands
至尊公主号邮轮,,07.12,False,0,0,103,0,3,0,,,,,,
钻石公主号邮轮,,07.12,False,0,0,49,0,0,0,,,,,,
北马里亚纳群岛,,07.12,False,0,0,31,0,2,16,,,,,,
撤回侨民,,07.12,False,0,0,4,0,0,0,,,,,,
地区待确认,,04.02,False,0,0,0,0,0,0,,,,,,
