name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare,nameMap
韩国,亚洲,04.02,False,0,0,9976,0,169,5828,3979.0,0.0,0.0,0.0,0.0,
大邱,,07.13,True,0,0,6927,0,189,6715,,,,,,Daegu
首尔,,07.13,True,0,0,1429,0,9,1217,,,,,,Seoul
庆尚北道,,07.13,True,0,0,1393,0,54,1333,,,,,,North Gyeongsang
京畿道,,07.13,True,0,0,1369,0,26,1106,,,,,,Gyeonggi
地区待确认,,07.13,True,0,0,851,0,0,643,,,,,,
仁川,,07.13,True,0,0,363,0,2,332,,,,,,Incheon
忠清南道,,07.13,True,0,0,185,0,0,163,,,,,,South Chungcheong
光州,,07.13,True,0,0,168,0,0,44,,,,,,Gwangju
大田,,07.13,True,0,0,159,0,2,85,,,,,,Daejeon
釜山,,07.13,True,0,0,156,0,3,148,,,,,,Busan
庆尚南道,,07.13,True,0,0,148,0,0,134,,,,,,South Gyeongsang
江原道,,07.13,True,0,0,69,0,3,57,,,,,,Gangwon
忠清北道,,07.13,True,0,0,69,0,0,63,,,,,,North Chungcheong
蔚山,,07.13,True,0,0,55,0,1,53,,,,,,Ulsan
世宗,,07.13,True,0,0,50,0,0,50,,,,,,Sejong
全罗北道,,07.13,True,0,0,36,0,0,23,,,,,,North Jeolla
全罗南道,,07.13,True,0,0,32,0,0,20,,,,,,South Jeolla
济州岛,,07.13,True,0,0,20,0,0,18,,,,,,Jeju
