name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
中国,632,85671,5,4649,5.43,80390,93.84
香港,332,1569,0,8,0.51,1229,78.33
北京,205,929,0,9,0.97,715,76.96
上海,31,728,0,7,0.96,690,94.78
辽宁,12,164,0,2,1.22,150,91.46
内蒙古,11,249,0,1,0.40,237,95.18
四川,7,599,0,3,0.50,589,98.33
广东,7,1650,0,8,0.48,1635,99.09
天津,5,203,0,3,1.48,195,96.06
陕西,4,321,0,3,0.93,314,97.82
台湾,4,451,0,7,1.55,440,97.56
河北,3,349,0,6,1.72,340,97.42
云南,2,187,0,2,1.07,183,97.86
浙江,2,1270,0,1,0.08,1267,99.76
山西,2,200,0,0,0.00,198,99.00
甘肃,1,167,0,2,1.20,164,98.20
澳门,1,46,0,0,0.00,45,97.83
重庆,1,582,0,6,1.03,575,98.80
山东,1,793,0,7,0.88,785,98.99
福建,1,363,0,1,0.28,361,99.45
安徽,0,991,0,6,0.61,985,99.39
吉林,0,155,0,2,1.29,153,98.71
湖北,0,68135,0,4512,6.62,63623,93.38
西藏,0,1,0,0,0.00,1,100.00
贵州,0,147,0,2,1.36,145,98.64
宁夏,0,75,0,0,0.00,75,100.00
湖南,0,1019,0,4,0.39,1015,99.61
广西,0,254,0,2,0.79,252,99.21
江苏,0,654,0,0,0.00,654,100.00
海南,0,171,0,6,3.51,165,96.49
江西,0,932,0,1,0.11,931,99.89
河南,0,1276,0,22,1.72,1254,98.28
黑龙江,0,947,0,13,1.37,934,98.63
新疆,0,76,0,3,3.95,73,96.05
青海,0,18,0,0,0.00,18,100.00
