,nowConfirm,confirmAdd,dead,heal,zero
上海,2,3,0,1,0
云南,0,0,0,0,6
内蒙古,0,0,0,0,1
北京,-21,0,0,21,8
台湾,-2,0,0,2,3
吉林,0,0,0,0,51
四川,-2,0,0,2,5
天津,0,0,0,0,2
宁夏,0,0,0,0,132
安徽,0,0,0,0,96
山东,0,0,0,0,1
山西,0,0,0,0,5
广东,-1,0,0,1,1
广西,0,0,0,0,115
新疆,0,0,0,0,147
江苏,0,0,0,0,21
江西,0,0,0,0,107
河北,-1,0,0,1,19
河南,0,0,0,0,106
浙江,0,0,0,0,2
海南,0,0,0,0,31
湖北,0,0,0,0,56
湖南,0,0,0,0,103
澳门,0,0,0,0,18
甘肃,-2,0,0,2,9
福建,0,0,0,0,23
西藏,0,0,0,0,166
贵州,0,0,0,0,107
辽宁,0,0,0,0,3
重庆,0,0,0,0,29
陕西,0,0,0,0,8
青海,0,0,0,0,159
香港,84,100,1,15,0
黑龙江,0,0,0,0,64
