name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
中国,621,85677,3,4649,5.43,80407,93.85
香港,332,1569,0,8,0.51,1229,78.33
北京,191,929,0,9,0.97,729,78.47
上海,34,731,0,7,0.96,690,94.39
辽宁,12,164,0,2,1.22,150,91.46
内蒙古,11,249,0,1,0.40,237,95.18
四川,7,599,0,3,0.50,589,98.33
广东,6,1650,0,8,0.48,1636,99.15
天津,5,203,0,3,1.48,195,96.06
台湾,4,451,0,7,1.55,440,97.56
陕西,3,321,0,3,0.93,315,98.13
山西,3,201,0,0,0.00,198,98.51
云南,3,188,0,2,1.06,183,97.34
河北,3,349,0,6,1.72,340,97.42
浙江,2,1270,0,1,0.08,1267,99.76
甘肃,1,167,0,2,1.20,164,98.20
澳门,1,46,0,0,0.00,45,97.83
山东,1,793,0,7,0.88,785,98.99
重庆,1,583,0,6,1.03,576,98.80
福建,1,363,0,1,0.28,361,99.45
宁夏,0,75,0,0,0.00,75,100.00
海南,0,171,0,6,3.51,165,96.49
新疆,0,76,0,3,3.95,73,96.05
河南,0,1276,0,22,1.72,1254,98.28
江西,0,932,0,1,0.11,931,99.89
黑龙江,0,947,0,13,1.37,934,98.63
贵州,0,147,0,2,1.36,145,98.64
湖北,0,68135,0,4512,6.62,63623,93.38
江苏,0,654,0,0,0.00,654,100.00
西藏,0,1,0,0,0.00,1,100.00
吉林,0,155,0,2,1.29,153,98.71
青海,0,18,0,0,0.00,18,100.00
湖南,0,1019,0,4,0.39,1015,99.61
安徽,0,991,0,6,0.61,985,99.39
广西,0,254,0,2,0.79,252,99.21
