,nowConfirm,confirmAdd,dead,heal,zero
上海,3,3,0,0,0
云南,1,1,0,0,0
内蒙古,0,0,0,0,2
北京,-14,0,0,14,9
台湾,0,0,0,0,4
吉林,0,0,0,0,52
四川,0,0,0,0,6
天津,0,0,0,0,3
宁夏,0,0,0,0,133
安徽,0,0,0,0,97
山东,0,0,0,0,2
山西,1,1,0,0,0
广东,-1,0,0,1,2
广西,0,0,0,0,116
新疆,0,0,0,0,148
江苏,0,0,0,0,22
江西,0,0,0,0,108
河北,0,0,0,0,20
河南,0,0,0,0,107
浙江,0,0,0,0,3
海南,0,0,0,0,32
湖北,0,0,0,0,57
湖南,0,0,0,0,104
澳门,0,0,0,0,19
甘肃,0,0,0,0,10
福建,0,0,0,0,24
西藏,0,0,0,0,167
贵州,0,0,0,0,108
辽宁,0,0,0,0,4
重庆,0,1,0,1,0
陕西,-1,0,0,1,9
青海,0,0,0,0,160
香港,36,48,0,12,0
黑龙江,0,0,0,0,65
