name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
美国,北美洲,07.14,True,65488,0,3479483,0,138247,1549469,1791767,65488,32638,32385,465
巴西,南美洲,07.14,False,20286,0,1884967,0,72833,1291251,520883,20286,-6855,26408,733
印度,亚洲,07.14,False,28498,0,906752,0,23727,571460,311565,28498,9956,17989,553
俄罗斯,欧洲,07.14,False,6240,0,738787,0,11597,511958,215232,6240,-2725,8790,175
秘鲁,南美洲,07.14,False,3797,0,330123,0,12054,221008,97061,3797,-284,3897,184
智利,南美洲,07.14,False,2616,0,317657,0,7024,286556,24077,2616,-83,2654,45
墨西哥,北美洲,07.14,False,4685,0,304435,0,35491,240101,28843,4685,-996,5196,485
西班牙,欧洲,07.14,True,681,0,303033,0,28406,196958,77669,2045,2042,0,3
英国,欧洲,07.14,False,536,0,291691,0,44915,1384,245392,536,519,6,11
南非,非洲,07.14,False,11554,0,287796,0,4172,138241,145383,11554,8094,3367,93
伊朗,亚洲,07.14,False,2521,0,262173,0,13211,225270,23692,2521,-389,2731,179
巴基斯坦,亚洲,07.14,False,1979,0,253604,0,5320,170656,77628,1979,-6814,8739,54
意大利,欧洲,07.14,False,169,0,243230,0,34967,195106,13157,169,-22,178,13
沙特阿拉伯,亚洲,07.14,False,2692,0,237803,0,2283,177560,57960,2692,-5066,7718,40
土耳其,亚洲,07.14,False,1008,0,214001,0,5382,195671,12948,1008,-167,1156,19
法国,欧洲,07.14,False,1625,0,209640,0,30032,78722,100886,1625,1391,209,25
德国,欧洲,07.14,False,381,0,200456,0,9077,185100,6279,381,376,0,5
孟加拉,亚洲,07.14,False,3163,0,190057,0,2424,103227,84406,3163,-1780,4910,33
哥伦比亚,南美洲,07.14,False,5083,0,150445,0,5634,63451,81360,5083,2610,2265,208
加拿大,北美洲,07.14,False,676,0,110046,0,8836,73420,27790,676,203,466,7
卡塔尔,亚洲,07.14,False,418,0,104016,0,149,100627,3240,418,-468,884,2
阿根廷,南美洲,07.14,False,3099,0,103265,0,1926,45467,55872,3099,1738,1294,67
埃及,非洲,07.14,False,931,0,83001,0,3935,24975,54091,931,298,556,77
伊拉克,亚洲,07.14,False,2022,0,81757,0,3345,50782,27630,2022,-1857,3784,95
印度尼西亚,亚洲,07.14,False,1591,0,78572,0,3710,37636,37226,1591,590,947,54
瑞典,欧洲,07.14,False,175,0,76001,0,5545,4971,65485,175,166,0,9
厄瓜多尔,南美洲,07.14,False,589,0,68459,0,5063,30369,33027,589,487,86,16
白俄罗斯,欧洲,07.14,False,155,0,65269,0,474,55799,8996,155,-158,307,6
比利时,欧洲,07.14,False,74,0,62781,0,9787,17223,35771,74,42,27,5
哈萨克斯坦,亚洲,07.14,False,1856,0,61755,0,375,35911,25469,1856,135,1721,0
阿曼,亚洲,07.14,False,1389,0,59568,0,273,37987,21308,1389,645,730,14
菲律宾,亚洲,07.14,False,539,0,57545,0,1603,20459,35483,539,447,88,4
科威特,亚洲,07.14,False,666,0,56174,0,396,46161,9617,666,-142,805,3
乌克兰,欧洲,07.14,False,646,0,55931,0,1429,28021,26481,646,-33,665,14
阿联酋,亚洲,07.14,False,344,0,55198,0,334,45513,9351,344,-30,373,1
荷兰,欧洲,07.14,False,53,0,51361,0,6154,193,45014,53,55,0,0
玻利维亚,南美洲,07.14,False,1063,0,49250,0,1866,15294,32090,1063,553,451,59
巴拿马,北美洲,07.14,False,1540,0,47173,0,932,23919,22322,1540,637,880,23
葡萄牙,欧洲,07.14,False,0,0,46818,0,1662,31065,14091,0,0,0,0
新加坡,亚洲,07.14,False,347,0,46630,0,26,42541,4063,347,91,256,0
多米尼加,北美洲,07.14,False,974,0,45506,0,903,22441,22162,974,-14,982,6
以色列,亚洲,07.14,False,1364,0,41235,0,368,19474,21393,1364,1142,218,4
波兰,欧洲,07.14,False,267,0,38457,0,1588,27756,9113,267,14,241,12
阿富汗,亚洲,07.14,False,285,0,34740,0,1048,21454,12238,285,49,200,36
罗马尼亚,欧洲,07.14,False,637,0,33585,0,1931,21803,9851,637,496,111,30
巴林,亚洲,07.14,False,535,0,33476,0,109,29099,4268,535,-139,674,0
尼日利亚,非洲,07.14,False,595,0,33153,0,744,13671,18738,595,367,224,4
瑞士,欧洲,07.14,False,70,0,33016,0,1968,29600,1448,70,70,0,0
亚美尼亚,亚洲,07.14,False,339,0,32490,0,581,20729,11180,339,-533,864,8
危地马拉,北美洲,07.14,False,387,0,29742,0,1244,4321,24177,387,255,107,25
洪都拉斯,北美洲,07.14,False,489,0,28579,0,789,3123,24667,489,308,166,15
爱尔兰,欧洲,07.14,False,10,0,25638,0,1746,23364,528,10,10,0,0
加纳,非洲,07.14,False,470,0,24988,0,139,21067,3782,470,-410,880,0
阿塞拜疆,亚洲,07.14,False,0,0,24570,0,313,15640,8617,0,0,0,0
