name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
纽约,07.14,New York,True,0,0,407528,0,32395,57587
加利福尼亚,07.14,California,True,0,0,333357,0,7091,84160
佛罗里达,07.14,Florida,True,0,0,282435,0,4277,381
德克萨斯,07.14,Texas,True,0,0,269778,0,3276,138160
新泽西,07.14,New Jersey,True,0,0,175522,0,15652,3951
伊利诺伊,07.14,Illinois,True,0,0,154799,0,7193,75880
亚利桑那,07.14,Arizona,True,0,0,123824,0,2245,174
乔治亚,07.14,Georgia,True,0,0,120572,0,3026,340
马萨诸塞,07.14,Massachusetts,True,0,0,111827,0,8330,94347
宾夕法尼亚,07.14,Pennsylvania,True,0,0,100330,0,6911,1369
北卡罗来纳,07.14,North Carolina,True,0,0,87532,0,1517,55318
路易斯安那州,07.14,Louisiana,True,0,0,79827,0,3423,46334
密歇根州,07.14,Michigan,True,0,0,77198,0,6322,53867
马里兰,07.14,Maryland,True,0,0,73527,0,3325,5230
弗吉尼亚,07.14,Virginia,True,0,0,71642,0,1969,9330
俄亥俄州,07.14,Ohio,True,0,0,66854,0,3064,7358
田纳西,07.14,Tennessee,True,0,0,64632,0,747,36890
南卡罗来纳州,07.14,South Carolina,True,0,0,58003,0,961,5076
阿拉巴马州,07.14,Alabama,True,0,0,55545,0,1124,25783
印第安纳,07.14,Indiana,True,0,0,52037,0,2762,2896
康涅狄格,07.14,Connecticut,True,0,0,47510,0,4371,63
明尼苏达,07.14,Minnesota,True,0,0,42772,0,1542,37199
华盛顿州,07.14,Washington,True,0,0,40911,0,1423,5365
科罗拉多,07.14,Colorado,True,0,0,37253,0,1727,3309
威斯康星,07.14,Wisconsin,True,0,0,36942,0,820,28670
密西西比州,07.14,Mississippi,True,0,0,36663,0,1249,22167
爱荷华州,07.14,Iowa,True,0,0,35577,0,755,26727
密苏里州,07.14,Missouri,True,0,0,30062,0,1133,4102
犹他,07.14,Utah,True,0,0,30030,0,216,4006
退伍军人事务部,07.14,veteran affair,True,0,0,29094,0,1792,13019
阿肯色州,07.14,Arkansas,True,0,0,28939,0,323,22106
内华达,07.14,Nevada,True,0,0,28576,0,596,18910
美军,07.14,,True,0,0,25822,0,42,10673
内布拉斯加,07.14,Nebraska,True,0,0,21420,0,292,14641
俄克拉荷马,07.14,Oklahoma,True,0,0,20746,0,424,15818
肯塔基,07.14,Kentucky,True,0,0,19653,0,629,5344
堪萨斯州,07.14,Kansas,True,0,0,19645,0,298,11489
罗德岛,07.14,Rhode Island,True,0,0,17312,0,971,1683
新墨西哥州,07.14,New Mexico,True,0,0,15291,0,548,6363
特拉华州,07.14,Delaware,True,0,0,12879,0,517,7139
俄勒冈,07.14,Oregon,True,0,0,12438,0,237,1885
爱达荷州,07.14,Idaho,True,0,0,11403,0,102,3022
华盛顿特区,07.14,District of Columbia,True,0,0,10906,0,568,1756
波多黎各,07.14,Puerto Rico,True,0,0,10010,0,167,850
联邦监狱局,07.14,,True,0,0,9223,0,96,5762
纳瓦霍族保留地,07.14,,True,0,0,8243,0,401,930
南达科塔州,07.14,South Dakota,True,0,0,7524,0,109,6543
新罕布什尔,07.14,New Hampshire,True,0,0,6068,0,391,5056
北达科他州,07.14,North Dakota,True,0,0,4442,0,87,3653
西弗吉尼亚,07.14,West Virginia,True,0,0,4313,0,97,2883
缅因州,07.14,Maine,True,0,0,3558,0,114,3009
怀俄明州,07.14,Wyoming,True,0,0,1903,0,21,1412
蒙大拿,07.14,Montana,True,0,0,1843,0,32,875
阿拉斯加州,07.14,Alaska,True,0,0,1539,0,17,588
佛蒙特,07.14,Vermont,True,0,0,1301,0,56,1049
夏威夷,07.14,Hawaii,True,0,0,1243,0,22,911
关岛,07.14,Guam,True,0,0,312,0,5,143
美属维尔京群岛,07.14,US Virgin Islands,True,0,0,206,0,6,96
至尊公主号邮轮,07.14,,True,0,0,103,0,3,0
钻石公主号邮轮,07.14,,True,0,0,49,0,0,0
北马里亚纳群岛,07.14,,True,0,0,31,0,2,16
撤回侨民,07.14,,True,0,0,4,0,0,0
地区待确认,04.02,,False,0,0,0,0,0,0
