confirm,continent,date,dead,heal,name,newConfirm,newDead,newHeal
3355646,北美洲,7.12,137403,1490446,美国,63860,732,29951
1839850,南美洲,7.12,71469,1244088,巴西,39023,1071,26727
849522,亚洲,7.12,22673,534618,印度,28606,550,19232
719449,欧洲,7.12,11188,496594,俄罗斯,0,0,0
322710,南美洲,7.12,11682,214152,秘鲁,3064,182,3514
312029,南美洲,7.12,6881,281114,智利,2755,100,3061
300988,欧洲,7.12,28403,196958,西班牙,0,0,0
295268,北美洲,7.12,34730,229856,墨西哥,6094,539,4500
290504,欧洲,7.12,44883,1378,英国,825,148,0
264184,非洲,7.12,3971,127715,南非,13497,111,9483
255117,亚洲,7.12,12635,217666,伊朗,0,0,0
248872,亚洲,7.12,5197,156700,巴基斯坦,2521,74,3566
242827,欧洲,7.12,34945,194579,意大利,188,7,306
229480,亚洲,7.12,2181,165396,沙特阿拉伯,0,0,0
211981,亚洲,7.12,5344,193217,土耳其,1016,21,1334
208015,欧洲,7.12,30007,78513,法国,0,0,0
199709,欧洲,7.12,9070,184266,德国,117,1,29
181129,亚洲,7.12,2305,88034,孟加拉,0,0,0
140776,南美洲,7.12,5202,58800,哥伦比亚,6803,217,2528
109150,北美洲,7.12,8818,72784,加拿大,166,7,318
103128,亚洲,7.12,146,98934,卡塔尔,0,0,0
97509,南美洲,7.12,1810,41408,阿根廷,3449,23,0
81158,非洲,7.12,3769,23876,埃及,923,67,602
75194,亚洲,7.12,3055,43079,伊拉克,0,0,0
74898,欧洲,7.12,5526,4971,瑞典,0,0,0
74018,亚洲,7.12,3535,34719,印度尼西亚,0,0,0
67209,南美洲,7.12,5031,30107,厄瓜多尔,2191,92,530
64767,欧洲,7.12,459,54919,白俄罗斯,0,0,0
62469,欧洲,7.12,9782,17196,比利时,0,0,0
58253,亚洲,7.12,264,33814,哈萨克斯坦,1798,0,1314
54697,亚洲,7.12,248,35255,阿曼,0,0,0
54453,亚洲,7.12,331,44648,阿联酋,403,1,679
54222,亚洲,7.12,1372,14037,菲律宾,0,0,0
54058,亚洲,7.12,386,43961,科威特,0,0,0
53941,欧洲,7.12,1389,26513,乌克兰,0,0,0
51136,欧洲,7.12,6156,193,荷兰,0,0,1
47200,南美洲,7.12,1754,14333,玻利维亚,1635,52,415
46221,欧洲,7.12,1654,30655,葡萄牙,0,0,0
45783,亚洲,7.12,26,42026,新加坡,0,0,246
44332,北美洲,7.12,893,22170,巴拿马,1075,30,744
43114,北美洲,7.12,880,20996,多米尼加,1199,16,166
37521,欧洲,7.12,1568,26635,波兰,0,0,0
37464,亚洲,7.12,354,18814,以色列,1198,3,201
34366,亚洲,7.12,994,21135,阿富汗,0,0,0
32817,欧洲,7.12,1968,29500,瑞士,19,2,100
32470,亚洲,7.12,104,27828,巴林,431,0,615
32079,欧洲,7.12,1871,21414,罗马尼亚,0,0,0
31987,非洲,7.12,724,13103,尼日利亚,664,15,308
31392,亚洲,7.12,559,19419,亚美尼亚,0,0,0
28598,北美洲,7.12,1172,4073,危地马拉,979,33,49
27583,北美洲,7.12,771,2901,洪都拉斯,530,21,51
25611,欧洲,7.12,1746,23364,爱尔兰,22,2,0
24248,非洲,7.12,135,19831,加纳,414,0,619
23521,亚洲,7.12,298,14607,阿塞拜疆,0,0,0
21430,亚洲,7.12,982,17494,日本本土,3,0,0
19208,欧洲,7.12,640,12456,摩尔多瓦,284,5,0
18783,欧洲,7.12,706,16864,奥地利,0,0,0
18712,非洲,7.12,1004,13124,阿尔及利亚,470,8,0
18073,欧洲,7.12,382,13780,塞尔维亚,0,0,0
16719,亚洲,7.12,38,8442,尼泊尔,0,0,0
15542,非洲,7.12,245,12065,摩洛哥,78,1,170
15173,非洲,7.12,359,11928,喀麦隆,257,0,403
13417,亚洲,7.12,289,12178,韩国,44,1,34
13147,欧洲,7.12,609,12278,丹麦,0,0,0
13115,欧洲,7.12,352,8227,捷克,53,0,18
12513,亚洲,7.12,57,7723,乌兹别克斯坦,111,1,183
12443,非洲,7.12,82,6357,科特迪瓦,391,1,277
10410,亚洲,7.12,129,3253,吉尔吉斯斯坦,500,4,17
10250,非洲,7.12,650,5341,苏丹,46,1,64
9797,大洋洲,7.12,108,7727,澳大利亚,244,1,3
9726,非洲,7.12,184,2832,肯尼亚,0,0,0
9391,北美洲,7.12,254,5516,萨尔瓦多,0,0,0
9178,南美洲,7.12,85,2671,委内瑞拉,375,2,0
8977,欧洲,7.12,252,8138,挪威,1,0,0
8704,亚洲,7.12,122,8515,马来西亚,0,0,0
8014,非洲,7.12,145,5381,塞内加尔,0,0,0
7975,欧洲,7.12,376,4080,北马其顿,198,8,120
7971,非洲,7.12,189,3615,刚果（金）,66,0,102
7402,非洲,7.12,124,2430,埃塞俄比亚,282,0,0
7291,欧洲,7.12,329,6800,芬兰,0,0,0
7231,北美洲,7.12,28,2220,哥斯达黎加,386,2,110
7175,欧洲,7.12,267,3311,保加利亚,211,0,3
6719,欧洲,7.12,219,3078,波黑,0,0,0
6690,北美洲,7.12,139,2590,海地,73,4,0
6506,亚洲,7.12,55,5176,塔吉克斯坦,0,0,0
6044,非洲,7.12,37,4802,几内亚,75,0,70
5942,非洲,7.12,46,3004,加蓬,0,0,0
