name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
美国,北美洲,07.15,True,65594,0,3545077,0,139143,1600195,1805739,65594,13972,50726,896
巴西,南美洲,07.15,False,41857,0,1926824,0,74133,1323425,529266,41857,8383,32174,1300
印度,亚洲,07.15,False,0,0,906752,0,23727,571460,311565,0,0,0,0
俄罗斯,欧洲,07.15,False,0,0,738787,0,11597,511958,215232,0,0,0,0
秘鲁,南美洲,07.15,False,3744,0,333867,0,12229,223261,98377,3744,1316,2253,175
智利,南美洲,07.15,False,1836,0,319493,0,7069,289220,23204,1836,-873,2664,45
墨西哥,北美洲,07.15,False,7051,0,311486,0,36327,245830,29329,7051,486,5729,836
西班牙,欧洲,07.15,True,666,0,303699,0,28409,196958,78332,666,663,0,3
南非,非洲,07.15,False,10496,0,298292,0,4346,146279,147667,10496,2284,8038,174
英国,欧洲,07.15,False,1240,0,292931,0,45053,1385,246493,1240,1101,1,138
伊朗,亚洲,07.15,False,0,0,262173,0,13211,225270,23692,0,0,0,0
巴基斯坦,亚洲,07.15,False,0,0,253604,0,5320,170656,77628,0,0,0,0
意大利,欧洲,07.15,False,0,0,243344,0,34984,195441,12919,0,0,0,0
沙特阿拉伯,亚洲,07.15,False,0,0,237803,0,2283,177560,57960,0,0,0,0
土耳其,亚洲,07.15,False,992,0,214993,0,5402,196720,12871,992,-77,1049,20
法国,欧洲,07.15,False,0,0,209640,0,30032,78722,100886,0,0,0,0
德国,欧洲,07.15,False,0,0,200456,0,9078,185100,6278,0,-1,0,1
孟加拉,亚洲,07.15,False,0,0,190057,0,2424,103227,84406,0,0,0,0
哥伦比亚,南美洲,07.15,False,3832,0,154277,0,5787,65809,82681,3832,1321,2358,153
加拿大,北美洲,07.15,False,292,0,110350,0,8845,73713,27792,292,-10,293,9
阿根廷,南美洲,07.15,False,3645,0,106910,0,1968,45467,59475,3645,3603,0,42
卡塔尔,亚洲,07.15,False,0,0,104533,0,150,101160,3223,0,0,0,0
埃及,非洲,07.15,False,929,0,83930,0,4008,25544,54378,929,287,569,73
伊拉克,亚洲,07.15,False,0,0,81757,0,3345,50782,27630,0,0,0,0
印度尼西亚,亚洲,07.15,False,0,0,78572,0,3710,37636,37226,0,0,0,0
瑞典,欧洲,07.15,False,0,0,76001,0,5545,4971,65485,0,0,0,0
厄瓜多尔,南美洲,07.15,False,1111,0,69570,0,5130,30484,33956,1111,929,115,67
白俄罗斯,欧洲,07.15,False,0,0,65269,0,474,55799,8996,0,0,0,0
比利时,欧洲,07.15,False,0,0,62781,0,9787,17223,35771,0,0,0,0
哈萨克斯坦,亚洲,07.15,False,0,0,61755,0,375,35911,25469,0,0,0,0
阿曼,亚洲,07.15,False,0,0,59568,0,273,37987,21308,0,0,0,0
菲律宾,亚洲,07.15,False,0,0,57545,0,1603,20459,35483,0,0,0,0
科威特,亚洲,07.15,False,0,0,56174,0,396,46161,9617,0,0,0,0
乌克兰,欧洲,07.15,False,0,0,55931,0,1429,28021,26481,0,0,0,0
阿联酋,亚洲,07.15,False,375,0,55573,0,335,46025,9213,375,-138,512,1
荷兰,欧洲,07.15,False,1,0,51362,0,6154,193,45015,1,1,0,0
玻利维亚,南美洲,07.15,False,1617,0,50867,0,1898,15819,33150,1617,1060,525,32
巴拿马,北美洲,07.15,False,923,0,48096,0,960,24667,22469,923,147,748,28
葡萄牙,欧洲,07.15,False,0,0,47051,0,1668,31550,13833,0,0,0,0
新加坡,亚洲,07.15,False,0,0,46630,0,27,42737,3866,0,0,0,0
多米尼加,北美洲,07.15,False,0,0,46305,0,910,23134,22261,0,0,0,0
以色列,亚洲,07.15,False,1125,0,42360,0,371,19665,22324,1125,931,191,3
波兰,欧洲,07.15,False,0,0,38457,0,1588,27756,9113,0,0,0,0
阿富汗,亚洲,07.15,False,0,0,34740,0,1048,21454,12238,0,0,0,0
巴林,亚洲,07.15,False,602,0,34078,0,111,29753,4214,602,-54,654,2
尼日利亚,非洲,07.15,False,463,0,33616,0,754,13792,19070,463,332,121,10
罗马尼亚,欧洲,07.15,False,0,0,33585,0,1931,21803,9851,0,0,0,0
瑞士,欧洲,07.15,False,0,0,33016,0,1968,29800,1248,0,-200,200,0
亚美尼亚,亚洲,07.15,False,0,0,32490,0,581,20729,11180,0,0,0,0
危地马拉,北美洲,07.15,False,1130,0,30872,0,1302,4453,25117,1130,940,132,58
洪都拉斯,北美洲,07.15,False,0,0,28579,0,789,3123,24667,0,0,0,0
爱尔兰,欧洲,07.15,False,32,0,25670,0,1746,23364,560,32,32,0,0
阿塞拜疆,亚洲,07.15,False,543,0,25113,0,319,16150,8644,543,27,510,6
加纳,非洲,07.15,False,0,0,24988,0,139,21067,3782,0,0,0,0
日本本土,亚洲,07.15,False,0,0,22431,0,984,18126,3321,0,0,0,0
阿尔及利亚,非洲,07.15,False,527,0,20216,0,1028,14295,4893,527,241,276,10
摩尔多瓦,欧洲,07.15,False,269,0,19708,0,655,13033,6020,269,266,0,3
奥地利,欧洲,07.15,False,0,0,19021,0,709,17073,1239,0,0,0,0
塞尔维亚,欧洲,07.15,False,0,0,18983,0,418,13991,4574,0,0,0,0
尼泊尔,亚洲,07.15,False,0,0,17061,0,38,10328,6695,0,0,0,0
摩洛哥,非洲,07.15,False,50,0,16097,0,257,13442,2398,50,10,39,1
喀麦隆,非洲,07.15,False,0,0,15173,0,359,11928,2886,0,0,0,0
乌兹别克斯坦,亚洲,07.15,False,92,0,14085,0,67,8327,5691,92,-163,253,2
韩国,亚洲,07.15,False,39,0,13551,0,289,12348,914,39,-27,66,0
捷克,欧洲,07.15,False,103,0,13341,0,355,8441,4545,103,33,68,2
丹麦,欧洲,07.15,False,0,0,13262,0,610,12361,291,0,0,0,0
科特迪瓦,非洲,07.15,False,165,0,13037,0,87,6908,6042,165,64,98,3
吉尔吉斯斯坦,亚洲,07.15,False,0,0,11444,0,149,3538,7757,0,0,0,0
肯尼亚,非洲,07.15,False,0,0,10791,0,202,3017,7572,0,0,0,0
澳大利亚,大洋洲,07.15,False,236,0,10487,0,111,7928,2448,236,142,93,1
苏丹,非洲,07.15,False,101,0,10417,0,659,5579,4179,101,-77,176,2
萨尔瓦多,北美洲,07.15,False,0,0,10303,0,278,5919,4106,0,0,0,0
委内瑞拉,南美洲,07.15,False,303,0,10010,0,96,2671,7243,303,300,0,3
挪威,欧洲,07.15,False,13,0,9001,0,253,8138,610,13,13,0,0
马来西亚,亚洲,07.15,False,0,0,8729,0,122,8524,83,0,0,0,0
哥斯达黎加,北美洲,07.15,False,446,0,8482,0,37,2441,6004,446,306,137,3
北马其顿,欧洲,07.15,False,0,0,8332,0,389,4468,3475,0,0,0,0
塞内加尔,非洲,07.15,False,0,0,8243,0,150,5580,2513,0,0,0,0
刚果（金）,非洲,07.15,False,0,0,8135,0,190,3948,3997,0,0,0,0
埃塞俄比亚,非洲,07.15,False,203,0,7969,0,139,2430,5400,203,192,0,11
保加利亚,欧洲,07.15,False,234,0,7645,0,283,3663,3699,234,81,146,7
芬兰,欧洲,07.15,False,0,0,7301,0,329,6800,172,0,0,0,0
波黑,欧洲,07.15,False,0,0,6981,0,226,3179,3576,0,0,0,0
巴勒斯坦,亚洲,07.15,False,0,0,6764,0,44,1084,5636,0,0,0,0
海地,北美洲,07.15,False,0,0,6727,0,141,3022,3564,0,0,0,0
塔吉克斯坦,亚洲,07.15,False,47,0,6643,0,56,5332,1255,47,-8,54,1
几内亚,非洲,07.15,False,59,0,6200,0,38,4951,1211,59,-31,89,1
加蓬,非洲,07.15,False,0,0,6026,0,46,3475,2505,0,0,0,0
毛里塔尼亚,非洲,07.15,False,72,0,5518,0,147,2664,2707,72,-91,163,0
马达加斯加,非洲,07.15,False,0,0,5343,0,39,2646,2658,0,0,0,0
卢森堡,欧洲,07.15,False,100,0,5056,0,111,4195,750,100,88,12,0
吉布提,非洲,07.15,False,0,0,4979,0,56,4743,180,0,0,0,0
中非共和国,非洲,07.15,False,35,0,4356,0,53,1229,3074,35,14,21,0
匈牙利,欧洲,07.15,False,0,0,4258,0,595,3106,557,0,0,0,0
希腊,欧洲,07.15,False,57,0,3883,0,193,1374,2316,57,57,0,0
克罗地亚,欧洲,07.15,False,0,0,3827,0,120,2558,1149,0,0,0,0
阿尔巴尼亚,欧洲,07.15,False,0,0,3667,0,97,2062,1508,0,0,0,0
泰国,亚洲,07.15,False,0,0,3227,0,58,3091,78,0,0,0,0
尼加拉瓜,北美洲,07.15,False,301,0,3147,0,99,2282,766,301,4,289,8
索马里,非洲,07.15,False,4,0,3076,0,93,1380,1603,4,-33,37,0
巴拉圭,南美洲,07.15,False,94,0,3074,0,25,1308,1741,94,79,15,0
赤道几内亚,非洲,07.15,False,0,0,3071,0,51,842,2178,0,0,0,0
马尔代夫,亚洲,07.15,False,39,0,2801,0,14,2302,485,39,26,12,1
斯里兰卡,亚洲,07.15,False,4,0,2665,0,11,1988,666,4,4,0,0
马拉维,非洲,07.15,False,67,0,2497,0,40,795,1662,67,18,48,1
黎巴嫩,亚洲,07.15,False,32,0,2451,0,37,1452,962,32,2,29,1
古巴,北美洲,07.15,False,0,0,2432,0,87,2275,70,0,0,0,0
马里,非洲,07.15,False,0,0,2423,0,121,1748,554,0,0,0,0
刚果（布）,非洲,07.15,False,0,0,2028,0,47,589,1392,0,0,0,0
爱沙尼亚,欧洲,07.15,False,0,0,2015,0,69,1897,49,0,0,0,0
斯洛伐克,欧洲,07.15,False,0,0,1908,0,28,1493,387,0,0,0,0
冰岛,欧洲,07.15,False,0,0,1905,0,10,1882,13,0,0,0,0
赞比亚,非洲,07.15,False,0,0,1895,0,42,1412,441,0,0,0,0
立陶宛,欧洲,07.15,False,0,0,1875,0,79,1571,225,0,0,0,0
斯洛文尼亚,欧洲,07.15,False,0,0,1859,0,111,1488,260,0,0,0,0
几内亚比绍,非洲,07.15,False,0,0,1842,0,26,773,1043,0,0,0,0
佛得角,非洲,07.15,False,0,0,1722,0,19,772,931,0,0,0,0
塞拉利昂,非洲,07.15,False,9,0,1651,0,64,1190,397,9,-7,15,1
利比亚,非洲,07.15,False,51,0,1563,0,42,370,1151,51,46,3,2
新西兰,大洋洲,07.15,False,2,0,1547,0,22,1498,27,2,2,0,0
也门,亚洲,07.15,False,18,0,1516,0,429,685,402,18,3,10,5
斯威士兰,非洲,07.15,False,45,0,1434,0,20,695,719,45,38,7,0
卢旺达,非洲,07.15,False,38,0,1416,0,4,737,675,38,11,27,0
贝宁,非洲,07.15,False,0,0,1378,0,26,557,795,0,0,0,0
突尼斯,非洲,07.15,False,4,0,1306,0,50,1087,169,4,-1,5,0
黑山,欧洲,07.15,False,0,0,1287,0,24,330,933,0,0,0,0
莫桑比克,非洲,07.15,False,0,0,1268,0,9,373,886,0,0,0,0
约旦,亚洲,07.15,False,15,0,1198,0,10,1013,175,15,10,5,0
拉脱维亚,欧洲,07.15,False,0,0,1174,0,31,1022,121,0,0,0,0
尼日尔,非洲,07.15,False,0,0,1099,0,68,992,39,0,0,0,0
津巴布韦,非洲,07.15,False,30,0,1064,0,20,343,701,30,29,0,1
乌干达,非洲,07.15,False,0,0,1040,0,0,984,56,0,0,0,0
布基纳法索,非洲,07.15,False,0,0,1037,0,53,873,111,0,0,0,0
利比里亚,非洲,07.15,False,0,0,1024,0,51,439,534,0,0,0,0
塞浦路斯,亚洲,07.15,False,0,0,1023,0,19,839,165,0,0,0,0
格鲁吉亚,亚洲,07.15,False,0,0,999,0,15,870,114,0,0,0,0
乌拉圭,南美洲,07.15,False,8,0,997,0,31,905,61,8,6,2,0
乍得,非洲,07.15,False,4,0,884,0,75,798,11,4,-2,6,0
纳米比亚,非洲,07.15,False,0,0,864,0,2,29,833,0,0,0,0
安道尔,欧洲,07.15,False,3,0,861,0,52,803,6,3,3,0,0
苏里南,南美洲,07.15,False,21,0,801,0,18,543,240,21,4,17,0
牙买加,北美洲,07.15,False,3,0,762,0,10,643,109,3,-12,15,0
多哥,非洲,07.15,False,10,0,731,0,15,528,188,10,-1,11,0
钻石号邮轮,其他,07.15,False,0,0,712,0,13,651,48,0,0,0,0
圣马力诺,欧洲,07.15,False,0,0,699,0,42,656,1,0,0,0,0
马耳他,欧洲,07.15,False,0,0,674,0,9,660,5,0,0,0,0
安哥拉,非洲,07.15,False,16,0,541,0,26,118,397,16,16,0,0
