name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
东京,07.15,Tokyo,True,0,0,8189,0,9,0
大阪府,07.15,Osaka,True,0,0,2065,0,4,0
神奈川县,07.15,Kanagawa,True,0,0,1784,0,5,0
埼玉县,07.15,Saitama,True,0,0,1517,0,5,0
北海道,07.15,Hokkaido,True,0,0,1304,0,5,0
千叶县,07.15,Chiba,True,0,0,1154,0,1,0
福冈县,07.15,Fukuoka,True,0,0,925,0,0,0
兵库县,07.15,Hyogo,True,0,0,747,0,7,0
爱知县,07.15,Aichi,True,0,0,540,0,19,0
京都府,07.15,Kyoto,True,0,0,468,0,0,0
检疫等工作人员,07.15,,True,0,0,412,0,0,0
石川县,07.15,Ishikawa,True,0,0,300,0,0,0
富山县,07.15,,True,0,0,230,0,0,0
茨城县,07.15,Ibaraki,True,0,0,204,0,0,0
广岛县,07.15,Hiroshima,True,0,0,184,0,0,0
武汉包机回国者,07.15,,True,0,0,173,0,0,0
岐阜县,07.15,Gifu,True,0,0,165,0,0,0
群马县,07.15,Gunma,True,0,0,157,0,1,0
鹿儿岛县,07.15,Kagoshima,True,0,0,155,0,0,0
冲绳县,07.15,Okinawa,True,0,0,148,0,0,0
奈良县,07.15,Nara,True,0,0,126,0,0,0
福井县,07.15,Fukui,True,0,0,124,0,0,0
宫城县,07.15,Miyagi,True,0,0,110,0,0,0
滋贺县,07.15,Shiga,True,0,0,106,0,0,0
静冈县,07.15,Shizuoka,True,0,0,98,0,0,0
栃木县,07.15,Tochigi,True,0,0,98,0,0,0
新潟县,07.15,Niigata,True,0,0,86,0,0,0
和歌山县,07.15,Wakayama,True,0,0,84,0,1,0
福岛县,07.15,Fukushima,True,0,0,84,0,0,0
爱媛县,07.15,Ehime,True,0,0,82,0,0,0
长野县,07.15,Nagano,True,0,0,79,0,0,0
山梨县,07.15,Yamanashi,True,0,0,76,0,0,0
高知县,07.15,Kochi,True,0,0,75,0,1,0
山形县,07.15,Yamagata,True,0,0,73,0,1,0
大分县,07.15,Oita,True,0,0,60,0,0,0
三重县,07.15,Mie,True,0,0,50,0,0,0
熊本县,07.15,Kumamoto,True,0,0,49,0,0,0
佐贺县,07.15,,True,0,0,47,0,0,0
山口县,07.15,Yamaguchi,True,0,0,37,0,0,0
长崎县,07.15,,True,0,0,31,0,0,0
青森县,07.15,Aomori,True,0,0,30,0,0,0
香川县,07.15,Kagawa,True,0,0,30,0,0,0
冈山县,07.15,Okayama,True,0,0,29,0,0,0
岛根县,07.15,Shimane,True,0,0,24,0,0,0
宫崎县,07.15,Miyazaki,True,0,0,20,0,0,0
秋田县,07.15,Akita,True,0,0,16,0,0,0
德岛县,07.15,Tokushima,True,0,0,10,0,0,0
鸟取县,07.15,,True,0,0,5,0,0,0
地区待确认,07.15,,True,0,0,0,0,925,18282
