name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
纽约,07.15,New York,True,0,0,408386,0,32408,57587
加利福尼亚,07.15,California,True,0,0,346211,0,7252,88244
佛罗里达,07.15,Florida,True,0,0,291629,0,4409,381
德克萨斯,07.15,Texas,True,0,0,279577,0,3362,142407
新泽西,07.15,New Jersey,True,0,0,175915,0,15672,3953
伊利诺伊,07.15,Illinois,True,0,0,155506,0,7218,75880
亚利桑那,07.15,Arizona,True,0,0,128097,0,2337,174
乔治亚,07.15,Georgia,True,0,0,123963,0,3054,340
马萨诸塞,07.15,Massachusetts,True,0,0,112130,0,8340,94347
宾夕法尼亚,07.15,Pennsylvania,True,0,0,101266,0,6931,1369
北卡罗来纳,07.15,North Carolina,True,0,0,89498,0,1550,67124
路易斯安那州,07.15,Louisiana,True,0,0,82042,0,3445,46334
密歇根州,07.15,Michigan,True,0,0,77864,0,6326,53867
马里兰,07.15,Maryland,True,0,0,74260,0,3334,5238
弗吉尼亚,07.15,Virginia,True,0,0,72443,0,1978,9423
俄亥俄州,07.15,Ohio,True,0,0,67996,0,3069,7358
田纳西,07.15,Tennessee,True,0,0,66791,0,767,38279
南卡罗来纳州,07.15,South Carolina,True,0,0,60220,0,984,5076
阿拉巴马州,07.15,Alabama,True,0,0,57255,0,1164,25783
印第安纳,07.15,Indiana,True,0,0,52685,0,2775,2896
康涅狄格,07.15,Connecticut,True,0,0,47530,0,4372,63
明尼苏达,07.15,Minnesota,True,0,0,43170,0,1548,37749
华盛顿州,07.15,Washington,True,0,0,42400,0,1430,5375
威斯康星,07.15,Wisconsin,True,0,0,37906,0,826,29275
科罗拉多,07.15,Colorado,True,0,0,37759,0,1739,3357
密西西比州,07.15,Mississippi,True,0,0,37542,0,1272,25932
爱荷华州,07.15,Iowa,True,0,0,35852,0,757,26968
密苏里州,07.15,Missouri,True,0,0,30774,0,1136,4102
犹他,07.15,Utah,True,0,0,30478,0,226,4006
阿肯色州,07.15,Arkansas,True,0,0,29812,0,331,22863
退伍军人事务部,07.15,veteran affair,True,0,0,29783,0,1813,13019
内华达,07.15,Nevada,True,0,0,29672,0,613,19808
美军,07.15,,True,0,0,25822,0,42,10673
俄克拉荷马,07.15,Oklahoma,True,0,0,21740,0,292,14641
内布拉斯加,07.15,Nebraska,True,0,0,21717,0,428,16638
肯塔基,07.15,Kentucky,True,0,0,20223,0,635,5389
堪萨斯州,07.15,Kansas,True,0,0,19887,0,299,11727
罗德岛,07.15,Rhode Island,True,0,0,17588,0,985,1683
新墨西哥州,07.15,New Mexico,True,0,0,15514,0,551,6429
特拉华州,07.15,Delaware,True,0,0,12969,0,518,7184
俄勒冈,07.15,Oregon,True,0,0,12805,0,244,1885
爱达荷州,07.15,Idaho,True,0,0,11719,0,103,3022
华盛顿特区,07.15,District of Columbia,True,0,0,10946,0,568,1774
波多黎各,07.15,Puerto Rico,True,0,0,10123,0,169,850
联邦监狱局,07.15,,True,0,0,9529,0,96,5810
纳瓦霍族保留地,07.15,,True,0,0,8243,0,401,930
南达科塔州,07.15,South Dakota,True,0,0,7572,0,109,6599
新罕布什尔,07.15,New Hampshire,True,0,0,6091,0,392,5101
北达科他州,07.15,North Dakota,True,0,0,4493,0,88,3685
西弗吉尼亚,07.15,West Virginia,True,0,0,4407,0,97,2982
缅因州,07.15,Maine,True,0,0,3566,0,114,3062
蒙大拿,07.15,Montana,True,0,0,1952,0,22,1462
怀俄明州,07.15,Wyoming,True,0,0,1950,0,34,875
阿拉斯加州,07.15,Alaska,True,0,0,1579,0,17,588
佛蒙特,07.15,Vermont,True,0,0,1305,0,56,1049
夏威夷,07.15,Hawaii,True,0,0,1264,0,22,921
关岛,07.15,Guam,True,0,0,312,0,5,143
美属维尔京群岛,07.15,US Virgin Islands,True,0,0,206,0,6,96
至尊公主号邮轮,07.15,,True,0,0,103,0,3,0
钻石公主号邮轮,07.15,,True,0,0,49,0,0,0
北马里亚纳群岛,07.15,,True,0,0,31,0,2,16
撤回侨民,07.15,,True,0,0,4,0,0,0
地区待确认,04.02,,False,0,0,0,0,0,0
