name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
大邱,07.15,Daegu,True,0,0,6927,0,189,6720
首尔,07.15,Seoul,True,0,0,1442,0,9,1275
庆尚北道,07.15,North Gyeongsang,True,0,0,1393,0,54,1334
京畿道,07.15,Gyeonggi,True,0,0,1383,0,26,1149
地区待确认,07.15,,True,0,0,886,0,0,652
仁川,07.15,Incheon,True,0,0,364,0,2,336
忠清南道,07.15,South Chungcheong,True,0,0,185,0,0,167
光州,07.15,Gwangju,True,0,0,170,0,0,57
大田,07.15,Daejeon,True,0,0,163,0,2,91
釜山,07.15,Busan,True,0,0,156,0,3,148
庆尚南道,07.15,South Gyeongsang,True,0,0,148,0,0,134
忠清北道,07.15,North Chungcheong,True,0,0,70,0,0,63
江原道,07.15,Gangwon,True,0,0,69,0,3,58
蔚山,07.15,Ulsan,True,0,0,55,0,1,53
世宗,07.15,Sejong,True,0,0,50,0,0,50
全罗北道,07.15,North Jeolla,True,0,0,38,0,0,23
全罗南道,07.15,South Jeolla,True,0,0,32,0,0,20
济州岛,07.15,Jeju,True,0,0,20,0,0,18
